日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅,代码
2025-11-06,61.1,75.8,61.1,64.45,25972540.0,1693551639.18,413.5458,603376
2025-11-07,55.98,55.98,50.81,50.96,21466926.0,1140503191.97,-20.931,603376
2025-11-10,48.01,49.28,46.0,46.12,15246057.0,719430221.76,-9.4976,603376
2025-11-11,46.15,48.1,45.08,46.97,13862149.0,647137407.12,1.843,603376
2025-11-12,46.0,46.55,44.6,44.66,9466647.0,426433731.93,-4.918,603376
2025-11-13,44.22,44.22,43.03,43.19,8274160.0,359073252.93,-3.2915,603376
2025-11-14,42.9,43.5,42.32,42.32,6085245.0,260915849.36,-2.0144,603376
2025-11-17,42.17,42.72,41.7,42.43,5233699.0,220250366.15,0.2599,603376
2025-11-18,42.13,42.13,41.04,41.23,5205888.0,215948094.52,-2.8282,603376
2025-11-19,41.11,41.93,40.94,41.04,3962099.0,163855581.21,-0.4608,603376
2025-11-20,41.11,41.58,40.71,41.13,4011275.0,165165071.01,0.2193,603376
2025-11-21,40.81,40.99,38.66,38.68,4824940.0,191254534.88,-5.9567,603376
2025-11-24,38.69,39.09,38.18,38.57,2867052.0,110538290.98,-0.2844,603376
2025-11-25,38.79,39.47,38.58,39.18,3007808.0,117820657.33,1.5815,603376
2025-11-26,39.26,39.39,38.78,38.81,2579489.0,100681047.93,-0.9444,603376
2025-11-27,38.61,39.53,38.6,39.12,3035111.0,119041321.05,0.7988,603376
2025-11-28,38.98,39.26,38.58,38.95,2064276.0,80211505.03,-0.4346,603376
2025-12-01,38.93,39.37,38.93,39.35,2137117.0,83848709.84,1.027,603376
2025-12-02,39.4,39.75,38.9,39.38,3018943.0,118789585.05,0.0762,603376
2025-12-03,39.37,39.37,38.1,38.33,3014379.0,116047989.48,-2.6663,603376
2025-12-04,38.24,38.91,37.75,37.75,2569083.0,97860029.27,-1.5132,603376
2025-12-05,37.76,37.9,37.28,37.57,2171553.0,81404151.68,-0.4768,603376
2025-12-08,37.8,39.28,37.65,39.23,5152274.0,199167881.05,4.4184,603376
2025-12-09,39.88,42.55,39.88,42.15,12633002.0,524939110.49,7.4433,603376
2025-12-10,41.48,42.68,40.6,41.88,8483687.0,353535834.5,-0.6406,603376
2025-12-11,42.24,42.81,41.4,42.81,8855924.0,375243908.0,2.2206,603376
2025-12-12,42.01,42.16,40.55,40.57,6636707.0,272545524.73,-5.2324,603376
2025-12-15,40.1,40.1,39.05,39.11,5017475.0,197772180.32,-3.5987,603376
2025-12-16,39.0,40.95,39.0,39.54,5885802.0,235901107.46,1.0995,603376
2025-12-17,38.75,39.37,37.75,38.61,4602462.0,176750578.69,-2.352,603376
2025-12-18,38.2,38.93,38.04,38.08,2783664.0,106735898.12,-1.3727,603376
2025-12-19,38.24,39.72,37.86,39.09,4315355.0,168368478.78,2.6523,603376
2025-12-22,39.12,39.48,38.85,39.04,3113699.0,121694746.92,-0.1279,603376
2025-12-23,38.94,38.97,37.68,38.07,3011524.0,115257587.51,-2.4846,603376
2025-12-24,38.0,38.59,37.88,38.33,1725462.0,65940562.03,0.683,603376
2025-12-25,38.32,38.32,37.96,38.3,1998197.0,76254854.14,-0.0783,603376
2025-12-26,38.2,38.23,37.71,38.02,2524417.0,95963003.22,-0.7311,603376
2025-12-29,38.14,38.46,37.67,37.72,2308343.0,87719523.07,-0.7891,603376
2025-12-30,37.7,37.71,37.38,37.39,2056314.0,77047157.0,-0.8749,603376
2025-12-31,37.57,37.57,36.85,36.91,2588885.0,95832787.97,-1.2838,603376
2026-01-05,36.9,37.36,36.78,37.35,2587078.0,96002401.83,1.1921,603376
2026-01-06,37.3,38.28,37.23,37.96,3652796.0,137687755.02,1.6332,603376
2026-01-07,37.71,38.31,37.6,38.16,3342671.0,126929596.61,0.5269,603376
2026-01-08,38.0,38.36,37.92,38.07,2413582.0,91993564.77,-0.2358,603376
2026-01-09,38.03,38.47,37.91,38.27,3139951.0,120060683.62,0.5253,603376
2026-01-12,38.28,38.45,38.05,38.45,2962136.0,113468579.66,0.4703,603376
2026-01-13,38.48,39.53,38.06,38.46,4093802.0,158979574.04,0.026,603376
2026-01-14,38.36,38.65,37.74,38.01,3637360.0,139166458.54,-1.17,603376
2026-01-15,38.02,39.91,38.0,39.52,6667524.0,262487099.5,3.9726,603376
2026-01-16,39.39,39.97,39.2,39.39,3737268.0,147479994.28,-0.3289,603376
2026-01-19,39.2,40.06,39.05,39.85,3330870.0,132275740.89,1.1678,603376
2026-01-20,39.7,40.1,39.09,39.36,3272917.0,129296798.17,-1.2296,603376
2026-01-21,39.1,40.06,38.86,39.95,3576411.0,141447251.08,1.499,603376
2026-01-22,39.96,40.25,39.43,39.55,2701824.0,107353352.44,-1.0013,603376
2026-01-23,39.43,40.1,39.36,40.03,3236518.0,128799641.35,1.2137,603376
2026-01-26,40.2,40.27,38.87,39.44,2995780.0,118158121.5,-1.4739,603376
